iter	Passed	Remaining
0	4	4934
1	10	5060
2	15	5031
3	20	5012
4	24	4968
5	29	4964
6	34	4942
7	39	4958
8	44	4941
9	49	4948
10	54	4939
11	59	4915
12	64	4903
13	69	4910
14	74	4876
15	78	4854
16	83	4818
17	87	4798
18	92	4766
19	97	4754
20	101	4727
21	105	4703
22	110	4676
23	114	4653
24	118	4639
25	123	4625
26	128	4614
27	132	4598
28	136	4585
29	141	4571
30	145	4559
31	150	4540
32	154	4525
33	158	4508
34	163	4496
35	167	4488
36	172	4479
37	176	4476
38	181	4463
39	185	4458
40	190	4450
41	194	4445
42	199	4433
43	203	4423
44	207	4411
45	212	4401
46	216	4395
47	221	4388
48	225	4382
49	230	4378
50	235	4374
51	239	4372
52	244	4368
53	248	4358
54	253	4359
55	258	4355
56	263	4352
57	267	4341
58	271	4337
59	276	4329
60	281	4326
61	285	4322
62	290	4314
63	294	4308
64	299	4303
65	304	4304
66	308	4295
67	312	4288
68	317	4281
69	321	4274
70	326	4268
71	330	4261
72	334	4251
73	339	4242
74	343	4238
75	348	4233
76	352	4227
77	356	4217
78	361	4213
79	365	4203
80	369	4197
81	374	4196
82	379	4193
83	383	4184
84	388	4178
85	392	4173
86	397	4168
87	401	4162
88	405	4154
89	410	4149
90	414	4143
91	419	4140
92	423	4133
93	428	4132
94	433	4129
95	438	4125
96	442	4117
97	446	4110
98	450	4102
99	454	4094
100	459	4089
101	463	4083
102	468	4079
103	472	4072
104	477	4066
105	481	4061
106	486	4057
107	490	4053
108	495	4048
109	499	4042
110	504	4037
111	508	4034
112	513	4028
113	517	4022
114	521	4016
115	526	4011
116	530	4005
117	535	4001
118	539	3996
119	544	3990
120	548	3985
121	552	3978
122	557	3973
123	561	3964
124	565	3959
125	569	3953
126	574	3949
127	578	3943
128	583	3937
129	587	3932
130	592	3927
131	596	3922
132	600	3915
133	605	3911
134	609	3906
135	614	3901
136	618	3896
137	623	3892
138	627	3888
139	632	3884
140	636	3880
141	641	3874
142	645	3870
143	650	3865
144	654	3859
145	658	3854
146	663	3849
147	667	3842
148	671	3837
149	676	3830
150	680	3825
151	684	3820
152	689	3815
153	693	3810
154	697	3803
155	702	3798
156	706	3792
157	710	3787
158	715	3782
159	719	3777
160	724	3773
161	728	3770
162	734	3769
163	738	3766
164	743	3764
165	748	3759
166	752	3754
167	757	3749
168	761	3744
169	765	3739
170	770	3735
171	774	3730
172	779	3726
173	784	3723
174	788	3719
175	793	3713
176	797	3709
177	802	3704
178	806	3698
179	810	3694
180	815	3689
181	820	3685
182	824	3680
183	829	3677
184	833	3672
185	837	3666
186	842	3662
187	847	3658
188	851	3653
189	855	3649
190	860	3644
191	864	3639
192	869	3635
193	873	3631
194	878	3627
195	883	3622
196	887	3619
197	892	3614
198	896	3609
199	901	3604
200	905	3599
201	909	3594
202	914	3588
203	918	3584
204	923	3580
205	927	3575
206	931	3569
207	936	3565
208	940	3559
209	944	3554
210	949	3550
